state_forest,site_id,latitude,longitude,ph,cond,temp,depth,length,width,canopy,toc_mgL,tn_mgL,cl_mgL,no3_mgL,no3n_mgL,so4_mgL,na_mgL,potas_mgL,mg_mgL,ca_mgL,pct_organic,,,,,
tuscarora,TUSC_2NR_04,40.2240311,-77.5949513,7.14,23.3,20.3,20,24.09,20.08,89.86,14.69,0.7995,0.6199,0.2484,0.0561,0.5182,0.648,1.763,0.452,4.532,11.50602098,,,,,
tuscarora,TUSC_2NR_07,40.2248083,-77.5928399,6.86,43.2,18.7,56,10.78,9.63,95.58,8.604,0.5381,0.7033,0.2319,0.0524,3.3008,0.752,0.843,0.87,10.514,4.65920398,,,,,
tuscarora,TUSC_2NR_08,40.225497,-77.5925425,9.05,22.9,16.4,38.5,25.7,11.09,96.89,3.622,0.2638,0.8226,0.2956,0.0668,3.3508,0.789,0.633,0.454,2.927,51.16666667,,,,,
tuscarora,TUSC_HR_01,40.2379115,-77.6350071,8.26,16.5,16.7,26.8,12.72,11.23,96.62,5.923,0.2994,0.7889,0.2445,0.0552,2.4904,0.769,0.623,0.535,4.566,27.83333333,,,,,
tuscarora,TUSC_HR_02,40.2398752,-77.6321432,8.46,9.7,17.8,26.5,10.74,8.33,96.62,6.844,0.3912,0.7983,0.2315,0.0523,1.2422,0.887,0.945,0.13,0.388,91.50139374,,,,,
tuscarora,TUSC_HR_03,40.2416319,-77.6303301,8.41,11.7,16.1,13,7.46,4.23,98.18,2.941,0.1619,0.8871,0.23,0.052,2.6529,0.921,0.434,0.258,0.109,33.16666667,,,,,
tuscarora,TUSC_HR_04,40.2423057,-77.6303301,8.51,10.4,15.9,39.3,16.8,15.5,95.06,2.918,0.1453,0.934,0.2271,0.0513,2.4828,0.87,0.377,0.243,0.215,19.26237624,,,,,
tuscarora,TUSC_HR_05,40.2423423,-77.629843,8.7,8.8,16.1,28.8,31.63,9.64,96.1,3.317,0.2561,1.1525,0.2266,0.0512,2.4832,0.968,0.797,0.422,0.553,10.5,,,,,
tuscarora,TUSC_HR_06,40.2427708,-77.6285368,7.75,9.9,14.7,19.6,13.83,9.3,77.12,3.407,0.2977,1.4711,0.2276,0.0514,2.5124,1.001,0.654,0.445,0.331,25.25420875,,,,,
tuscarora,TUSC_WLCK_03,40.4314016,-77.7101346,6.38,12.9,19.3,74,23.74,7.82,93.24,10.76,0.6106,1.088,0.3338,0.0754,1.6704,0.793,1.64,0.231,0.7,48.58123953,,,,,
tuscarora,TUSC_WLCK_04,40.4320075,-77.7092251,6.51,9.6,18.7,41,12.59,8.52,97.14,7.326,0.5518,0.8693,0.2861,0.0646,1.6353,0.779,0.925,0.203,0.513,65.44574706,,,,,
tuscarora,TUSC_WLCK_06,40.4373231,-77.7051098,7.39,19.8,15.1,8,12.32,9.48,92.72,3.138,1.265,1.9645,1.7676,0.3993,4.0475,1.506,1.073,0.935,1.89,72.29700855,,,,,
